Workstream,Priority,Status,Date,Activity Summary,Work Performed,Outcome / Resolution,Hours,Notes
AA – On-Prem E2E,P0,Completed,2026-06-25,Cert-manager HTTP-01 migration attempt,"Updated cert-manager IaC deployment and bundle/payload changes with Chetan. Started cert-manager HTTP-01 migration and ArgoCD rename/refactor; later reverted due to login/OAuth issues and restored manual certificates.","HTTP-01 migration attempted then reverted to restore login/OAuth; manual cert approach restored.",7.0,Part of SSL/cert remediation series closed 2026-07-09
AA – On-Prem E2E,P0,Completed,2026-06-26,Tag deployment and cert rotation checklist,"Deployed new image tag and reviewed logs. Prepared Nagaland startup checklist and cert rotation policy (later checklist commit reverted with migration rollback).","New tag deployed and logs reviewed; checklist prepared (later reverted with migration rollback).",1.0,
AA – On-Prem E2E,P0,Completed,2026-06-30,Bundle redeploy and ArgoCD/DB hardening,"Updated bundle redeployed images and validated logs with Chetan. Enhanced ArgoCD configs auth values and AWS keys; added skipEmptyWalArchiveCheck on auth/FHIR databases.","Bundle redeployed and validated; ArgoCD/auth/DB config hardening applied.",5.0,
AA – On-Prem E2E,P0,Completed,2026-07-02,Nagaland/Anekal node issue and tag updates,"Continued Nagaland and Anekal node issue troubleshooting. Updated Site-5 dashboard and FHIR gateway image tags.","Site-5 dashboard and FHIR gateway tags updated; node troubleshooting continued.",6.0,Part of SSL/cert remediation series closed 2026-07-09
AA – On-Prem E2E,P0,Completed,2026-07-03,Nagaland node recovery via snapshot restore,"Nagaland node issue remediation: reconfigured using snapshot restore and reattached volumes.","Node restored from snapshot with volumes reattached.",8.0,
AA – On-Prem E2E,P0,Completed,2026-07-04,On-prem connectivity and dual TLS diagnosis,"Validated on-prem server connectivity and pod health. Identified dual TLS state: public gateway certificate renewed while k3s Git secrets remained expired.","Root cause narrowed to expired k3s Git TLS secrets despite renewed public gateway cert.",3.0,
AA – On-Prem E2E,P0,Completed,2026-07-05,On-prem SSL cert package and ArgoCD sync,"Addressed on-prem SSL issue. Added MinIO backup configs data-protection settings ArgoCD annotations and README updates. Applied IISC-provided cert package (4894261858); updated 4 TLS YAML secrets; PR #193 merged; troubleshot ArgoCD sync (stale cache / unchanged secrets).","TLS secrets updated via PR #193; ArgoCD sync issues investigated; backup/protection configs added.",6.0,
AA – On-Prem E2E,P0,Completed,2026-07-06,Cert selfHeal conflict and Site-5 validation,"On-prem SSL continued. Node connectivity self-recovered; Site-5 pods validated healthy. Root-caused ArgoCD selfHeal reverting manual cert patches. Coordinated renewed cert request with IISC / Prof. Devnath.","Identified ArgoCD selfHeal as cause of cert patch reverts; Site-5 healthy; formal cert request coordinated with IISC.",8.0,
AA – On-Prem E2E,P0,Completed,2026-07-07,Bundle update and Keycloak OAuth TLS diagnosis,"Updated application bundle. Tuned .env-dashboard.secret (INTERNAL_KEYCLOAK_URL / NODE_TLS_REJECT_UNAUTHORIZED). Diagnosed OAuth token fetch to external Keycloak URL failing from inside cluster (HTTP 000) while FHIR server remained reachable.","Bundle updated; in-cluster OAuth to external Keycloak diagnosed as TLS/trust failure (HTTP 000).",1.0,
AA – On-Prem E2E,P0,Completed,2026-07-09,Site-5 FHIR TLS workaround and multi-site rollout,"Resolved node HTTP/SSL issue affecting FHIR integration. Added NODE_TLS_REJECT_UNAUTHORIZED=0 to Site-5 FHIR integration secret; rolled out to Sites 1–9 and Staging; verified Site-5 crons healthy (encounters loaded; diagnosis/specialist processing).","Sites 1–9 + Staging updated; Site-5 crons confirmed healthy. Temporary TLS bypass in place pending proper certificate trust fix.",2.0,"Open risk: NODE_TLS_REJECT_UNAUTHORIZED=0 is a temporary workaround — replace with proper CA/cert trust"
